iter,gate,n_groups,n_groups_cut,n_zero_variance,n_train_items,loss,grad_norm,rewards_mean,rewards_max,rollout_secs,train_secs,save_secs,iter_secs,cumulative_wall_clock_sec,seed,arm,zv_rate,cut_rate,recall_per_iter,dilution_pct
24,on,10,2,3,96,-0.01285986200912248,0.14020602405071259,0.325,1.0,276.4682083129883,12.327361822128296,0.8676555156707764,289.68580174446106,6096.263182401657,7,gated,0.125,0.2,0.6666666666666666,8.333333333333332
25,on,10,4,5,96,-0.005954017367912456,0.06761904060840607,0.3125,1.0,213.72145771980286,11.785800218582153,0.8958530426025391,226.42893171310425,6322.692114114761,7,gated,0.16666666666666666,0.4,0.8,8.333333333333332
26,on,10,2,8,96,0.0019104471243736043,0.04538863152265549,0.25,1.0,241.48003888130188,10.342609167098999,0.9186482429504395,252.76631498336792,6575.458429098129,7,gated,0.75,0.2,0.25,50.0
27,on,10,3,3,96,0.01378743215900613,0.17862971127033234,0.4125,1.0,240.11691975593567,13.534928321838379,0.8573262691497803,254.53177785873413,6829.990206956863,7,gated,0.0,0.3,1.0,0.0
28,on,10,1,3,96,-0.047320277633843943,0.13543586432933807,0.5125,1.0,258.34641551971436,13.02951979637146,0.84244704246521,272.24249386787415,7102.232700824738,7,gated,0.2222222222222222,0.1,0.3333333333333333,16.666666666666664
29,on,10,3,5,96,-0.0192325849639019,0.1954788863658905,0.5625,1.0,191.30591559410095,16.296520471572876,0.7338595390319824,208.3593077659607,7310.592008590698,7,gated,0.2857142857142857,0.3,0.6,16.666666666666664
30,on,10,2,5,96,0.030435845401370898,0.14382898807525635,0.225,1.0,259.06243348121643,11.188028573989868,0.8470885753631592,271.12312746047974,7581.715136051178,7,gated,0.375,0.2,0.4,25.0
31,on,10,1,5,96,-0.08357605548371794,0.24030080437660217,0.2,1.0,278.6262557506561,8.387208700180054,0.8335232734680176,287.8774154186249,7869.592551469803,7,gated,0.4444444444444444,0.1,0.2,33.33333333333333
32,on,10,1,5,96,-0.007838779536541551,0.12797380983829498,0.4875,1.0,237.78392457962036,9.446379661560059,0.8435506820678711,248.09914898872375,8117.691700458527,7,gated,0.4444444444444444,0.1,0.2,33.33333333333333
33,on,10,2,3,96,-0.021459116745973006,0.16782347857952118,0.575,1.0,236.78534603118896,12.185296535491943,0.8441550731658936,249.83487153053284,8367.52657198906,7,gated,0.125,0.2,0.6666666666666666,8.333333333333332
