task_type,K,metric,n,spearman_rho,p_value,auroc_nonzero_var
pick_heat_then_place_in_recep,5,action_entropy,11,-0.14617633655117152,0.6680199336982832,0.55
pick_heat_then_place_in_recep,10,unique_action_ratio,11,0.3769230769230769,0.25317534018251164,0.8
pick_heat_then_place_in_recep,10,unique_prefix_ratio,11,0.4816402366437429,0.1335982556581352,0.95
pick_heat_then_place_in_recep,10,action_bigram_jaccard_mean,11,0.22691813830507576,0.502221569498525,0.9
pick_heat_then_place_in_recep,10,prefix_edit_distance_mean,11,0.13035722838802224,0.7024417684011995,1.0
pick_heat_then_place_in_recep,10,obs_unique_ratio,11,0.39031120254246415,0.2353198869532972,0.8
pick_heat_then_place_in_recep,10,termination_fraction,11,0.015837806678998763,0.963137057549298,0.75
pick_heat_then_place_in_recep,10,action_entropy,11,0.5458215457794311,0.08240294535364744,1.0
pick_heat_then_place_in_recep,15,unique_action_ratio,11,0.16801651177651628,0.621435574736234,0.05
pick_heat_then_place_in_recep,15,unique_prefix_ratio,11,0.2662878208215674,0.4286559634974279,0.15
pick_heat_then_place_in_recep,15,action_bigram_jaccard_mean,11,0.019312181983410705,0.9550567541070668,0.6
pick_heat_then_place_in_recep,15,prefix_edit_distance_mean,11,0.03637606447016131,0.9154395153949967,0.75
pick_heat_then_place_in_recep,15,obs_unique_ratio,11,0.43980792788558676,0.1758611074711154,0.45
pick_heat_then_place_in_recep,15,termination_fraction,11,0.23420495732217642,0.4882087601177319,0.75
pick_heat_then_place_in_recep,15,action_entropy,11,0.11285498012521841,0.741117035012495,0.05
pick_heat_then_place_in_recep,20,unique_action_ratio,11,0.2477902824488491,0.46255658361109747,0.4
pick_heat_then_place_in_recep,20,unique_prefix_ratio,11,0.22151061276370387,0.5127318660342742,0.25
pick_heat_then_place_in_recep,20,action_bigram_jaccard_mean,11,0.019312181983410705,0.9550567541070668,0.6
pick_heat_then_place_in_recep,20,prefix_edit_distance_mean,11,-0.07016631020436126,0.8375730027834075,0.6
pick_heat_then_place_in_recep,20,obs_unique_ratio,11,0.20006252931214213,0.5553192491210764,0.5
pick_heat_then_place_in_recep,20,termination_fraction,11,0.28868586182525063,0.38926472438751103,0.85
pick_heat_then_place_in_recep,20,action_entropy,11,0.19202152878630252,0.5716405426838245,0.4
pick_two_obj_and_place,5,unique_action_ratio,20,0.5940945915068143,0.005742992824120383,0.8186813186813187
pick_two_obj_and_place,5,unique_prefix_ratio,20,0.5640764255632483,0.009580959078033352,0.7967032967032968
pick_two_obj_and_place,5,action_bigram_jaccard_mean,20,0.5784184654859427,0.0075472928086473354,0.8021978021978022
pick_two_obj_and_place,5,prefix_edit_distance_mean,20,0.5923966041905903,0.005919357009556428,0.8186813186813187
pick_two_obj_and_place,5,obs_unique_ratio,20,0.5329855872442515,0.015531674860817213,0.7857142857142857
pick_two_obj_and_place,5,termination_fraction,20,,,0.5
pick_two_obj_and_place,5,action_entropy,20,0.5488948400493119,0.012197920031571784,0.7967032967032968
pick_two_obj_and_place,10,unique_action_ratio,20,0.5136888183971162,0.020517368458310148,0.8296703296703296
pick_two_obj_and_place,10,unique_prefix_ratio,20,0.6058190449335682,0.004639452013963491,0.8516483516483516
pick_two_obj_and_place,10,action_bigram_jaccard_mean,20,0.7269086817682023,0.00028265401963400283,0.9230769230769231
pick_two_obj_and_place,10,prefix_edit_distance_mean,20,0.7171336261454027,0.0003727885798951259,0.9120879120879121
pick_two_obj_and_place,10,obs_unique_ratio,20,0.6511334317321681,0.0018734168581253361,0.8791208791208791
pick_two_obj_and_place,10,termination_fraction,20,0.3410963400644339,0.14108345756621707,0.6428571428571428
pick_two_obj_and_place,10,action_entropy,20,0.5062265538623872,0.022756555953870487,0.8241758241758241
pick_two_obj_and_place,15,unique_action_ratio,20,0.5431824315829812,0.013320836028673259,0.8076923076923077
pick_two_obj_and_place,15,unique_prefix_ratio,20,0.42304820588589465,0.06310113447292391,0.7417582417582418
pick_two_obj_and_place,15,action_bigram_jaccard_mean,20,0.5776349763353315,0.007648398723062571,0.8461538461538461
pick_two_obj_and_place,15,prefix_edit_distance_mean,20,0.6637034751134069,0.0014192339434305368,0.901098901098901
pick_two_obj_and_place,15,obs_unique_ratio,20,0.508509835683874,0.022051782971275094,0.7857142857142857
pick_two_obj_and_place,15,termination_fraction,20,0.7136046513290967,0.00041084375321652586,0.7857142857142857
pick_two_obj_and_place,15,action_entropy,20,0.5307416712857017,0.016055641008648498,0.8076923076923076
pick_two_obj_and_place,20,unique_action_ratio,20,0.402823674885106,0.07824224316915722,0.7417582417582418
pick_two_obj_and_place,20,unique_prefix_ratio,20,0.3872670345600044,0.09161079505247535,0.6923076923076923
pick_two_obj_and_place,20,action_bigram_jaccard_mean,20,0.5625508064463903,0.0098212432620923,0.8351648351648352
pick_two_obj_and_place,20,prefix_edit_distance_mean,20,0.6486193052244659,0.0019774918857377814,0.8901098901098901
pick_two_obj_and_place,20,obs_unique_ratio,20,0.07476479905066648,0.7540771554641252,0.532967032967033
pick_two_obj_and_place,20,termination_fraction,20,0.7880319500493143,3.690581173072614e-05,0.8571428571428572
pick_two_obj_and_place,20,action_entropy,20,0.41968274107565107,0.06545337376717929,0.7527472527472527
