task_id,label,wall_time_sec,step_tokens,rewards_mean,rewards_var,won,group_size,max_steps_cap,gate_cut
pick_clean_then_place_in_recep-ButterKnife-None-Drawer-30/trial_T20190908_052007_212776,gated,38.28909659385681,240,0.0,0.0,0,8,30,0
look_at_obj_in_light-Bowl-None-DeskLamp-316/trial_T20190908_230702_962704,gated,22.86555576324463,142,0.625,0.234375,5,8,30,0
pick_and_place_simple-Book-None-Sofa-229/trial_T20190907_042856_259139,gated,9.249609470367432,80,0.0,0.0,0,8,30,1
pick_clean_then_place_in_recep-Mug-None-CoffeeMachine-26/trial_T20190907_233056_022802,gated,13.931488037109375,54,1.0,0.0,8,8,30,0
pick_two_obj_and_place-ToiletPaper-None-Drawer-423/trial_T20190907_111251_461099,gated,32.55918216705322,240,0.0,0.0,0,8,30,0
pick_two_obj_and_place-Glassbottle-None-Shelf-1/trial_T20190907_122204_941737,gated,35.67320537567139,232,0.25,0.1875,2,8,30,0
pick_two_obj_and_place-Book-None-Desk-302/trial_T20190906_181233_363875,gated,26.584998607635498,240,0.0,0.0,0,8,30,0
pick_heat_then_place_in_recep-Mug-None-Cabinet-3/trial_T20190909_014639_335717,gated,20.911813020706177,89,0.875,0.109375,7,8,30,0
pick_clean_then_place_in_recep-Ladle-None-CounterTop-8/trial_T20190909_121908_219603,gated,35.56126093864441,234,0.125,0.109375,1,8,30,0
pick_clean_then_place_in_recep-Ladle-None-DiningTable-16/trial_T20190909_183724_205399,gated,17.042847156524658,80,0.0,0.0,0,8,30,1
pick_clean_then_place_in_recep-SoapBar-None-Toilet-428/trial_T20190907_041436_588106,gated,8.401006937026978,80,0.0,0.0,0,8,30,1
pick_two_obj_and_place-AlarmClock-None-Dresser-305/trial_T20190907_165826_194855,gated,7.947642803192139,80,0.0,0.0,0,8,30,1
pick_and_place_simple-SoapBar-None-Cart-401/trial_T20190907_054906_608944,gated,4.938281774520874,40,1.0,0.0,8,8,30,0
pick_cool_then_place_in_recep-Pan-None-DiningTable-7/trial_T20190908_232648_241836,gated,12.648927211761475,80,0.0,0.0,0,8,30,1
pick_cool_then_place_in_recep-Apple-None-Microwave-5/trial_T20190908_150807_823817,gated,32.66981744766235,193,0.5,0.25,4,8,30,0
pick_and_place_simple-SprayBottle-None-Toilet-418/trial_T20190906_190942_706186,gated,7.41313362121582,71,1.0,0.0,8,8,30,0
pick_and_place_simple-SprayBottle-None-GarbageCan-409/trial_T20190908_054742_818364,gated,8.548888206481934,80,0.0,0.0,0,8,30,1
pick_and_place_simple-TissueBox-None-Toilet-426/trial_T20190910_155319_795672,gated,7.558763265609741,60,1.0,0.0,8,8,30,0
pick_clean_then_place_in_recep-Plate-None-CounterTop-19/trial_T20190908_212725_836398,gated,30.94050145149231,182,0.625,0.234375,5,8,30,0
pick_cool_then_place_in_recep-Cup-None-Microwave-17/trial_T20190906_192817_654400,gated,34.92241096496582,240,0.0,0.0,0,8,30,0
