rule,K,d_low,TP,FP,prec,rec,f1,savings,n_params,t_low,t_high,d_high
R3,5,0.15999999999999998,20,15,0.5714285714285714,0.5128205128205128,0.5405405405405405,0.16666666666666666,2,,0.8,
R3,5,0.15999999999999998,20,15,0.5714285714285714,0.5128205128205128,0.5405405405405405,0.16666666666666666,2,,0.8500000000000001,
R3,5,0.15999999999999998,20,15,0.5714285714285714,0.5128205128205128,0.5405405405405405,0.16666666666666666,2,,0.9,
R3,5,0.15999999999999998,20,15,0.5714285714285714,0.5128205128205128,0.5405405405405405,0.16666666666666666,2,,0.95,
R3,5,0.15999999999999998,20,15,0.5714285714285714,0.5128205128205128,0.5405405405405405,0.16666666666666666,2,,1.0,
R3,5,0.17999999999999997,23,16,0.5897435897435898,0.5897435897435898,0.5897435897435898,0.19166666666666668,2,,0.5,
R3,5,0.17999999999999997,23,16,0.5897435897435898,0.5897435897435898,0.5897435897435898,0.19166666666666668,2,,0.55,
R3,5,0.17999999999999997,23,16,0.5897435897435898,0.5897435897435898,0.5897435897435898,0.19166666666666668,2,,0.6,
R3,5,0.17999999999999997,22,16,0.5789473684210527,0.5641025641025641,0.5714285714285715,0.18333333333333332,2,,0.65,
R3,5,0.17999999999999997,22,16,0.5789473684210527,0.5641025641025641,0.5714285714285715,0.18333333333333332,2,,0.7,
R3,5,0.17999999999999997,22,16,0.5789473684210527,0.5641025641025641,0.5714285714285715,0.18333333333333332,2,,0.75,
R3,5,0.17999999999999997,21,16,0.5675675675675675,0.5384615384615384,0.5526315789473685,0.175,2,,0.8,
R3,5,0.17999999999999997,21,16,0.5675675675675675,0.5384615384615384,0.5526315789473685,0.175,2,,0.8500000000000001,
R3,5,0.17999999999999997,21,16,0.5675675675675675,0.5384615384615384,0.5526315789473685,0.175,2,,0.9,
R3,5,0.17999999999999997,21,16,0.5675675675675675,0.5384615384615384,0.5526315789473685,0.175,2,,0.95,
R3,5,0.17999999999999997,21,16,0.5675675675675675,0.5384615384615384,0.5526315789473685,0.175,2,,1.0,
R3,5,0.19999999999999996,23,17,0.575,0.5897435897435898,0.5822784810126582,0.19166666666666668,2,,0.5,
R3,5,0.19999999999999996,23,17,0.575,0.5897435897435898,0.5822784810126582,0.19166666666666668,2,,0.55,
R3,5,0.19999999999999996,23,17,0.575,0.5897435897435898,0.5822784810126582,0.19166666666666668,2,,0.6,
R3,5,0.19999999999999996,22,17,0.5641025641025641,0.5641025641025641,0.5641025641025641,0.18333333333333332,2,,0.65,
R3,5,0.19999999999999996,22,17,0.5641025641025641,0.5641025641025641,0.5641025641025641,0.18333333333333332,2,,0.7,
R3,5,0.19999999999999996,22,17,0.5641025641025641,0.5641025641025641,0.5641025641025641,0.18333333333333332,2,,0.75,
R3,5,0.19999999999999996,21,17,0.5526315789473685,0.5384615384615384,0.5454545454545455,0.175,2,,0.8,
R3,5,0.19999999999999996,21,17,0.5526315789473685,0.5384615384615384,0.5454545454545455,0.175,2,,0.8500000000000001,
R3,5,0.19999999999999996,21,17,0.5526315789473685,0.5384615384615384,0.5454545454545455,0.175,2,,0.9,
R3,5,0.19999999999999996,21,17,0.5526315789473685,0.5384615384615384,0.5454545454545455,0.175,2,,0.95,
R3,5,0.19999999999999996,21,17,0.5526315789473685,0.5384615384615384,0.5454545454545455,0.175,2,,1.0,
